index,location,continent,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,life_expectancy,human_development_index
203,United States,North America,103436829,305763.91,1138309,3364.893,270227181,230637348,133062763,81.39,69.47,40.08,338289856,35.608,38.3,15.413,9.732,54225.446,78.86,0.926
204,United States Virgin Islands,North America,25389,255219.695,132,1326.913,NaN,NaN,NaN,NaN,NaN,NaN,99479,306.48,42.2,18.601,10.799,NaN,80.58,NaN
205,American Samoa,Oceania,8359,188712.044,34,767.581,NaN,NaN,NaN,NaN,NaN,NaN,44295,278.205,NaN,NaN,NaN,NaN,73.74,NaN
206,Australia,Oceania,11629977,444275.312,23289,889.66,22231907,21648824,19790466,84.93,82.7,75.6,26177410,3.202,37.9,15.504,10.129,44648.71,83.44,0.944
207,Cook Islands,Oceania,7168,420854.861,2,117.426,15112,14728,10240,88.73,86.47,60.12,17032,NaN,NaN,NaN,NaN,NaN,76.25,NaN
208,Fiji,Oceania,69047,74262.532,885,951.849,712025,641194,172046,76.58,68.96,18.5,929769,49.562,28.6,6.224,3.284,8702.975,67.44,0.743
209,French Polynesia,Oceania,78649,256777.846,649,2118.893,190908,186803,112237,62.33,60.99,36.64,306292,77.324,32.7,7.775,4.593,NaN,77.66,NaN
210,Guam,Oceania,52060,303056.763,417,2427.481,NaN,NaN,NaN,NaN,NaN,NaN,171783,304.128,31.4,9.551,5.493,NaN,80.07,NaN
211,Kiribati,Oceania,5085,38746.695,24,182.875,100900,81474,37606,76.88,62.08,28.66,131237,143.701,23.2,3.895,2.21,1981.132,68.37,0.63
212,Marshall Islands,Oceania,16138,387997.98,17,408.723,NaN,NaN,NaN,NaN,NaN,NaN,41593,295.15,NaN,NaN,NaN,3819.202,73.7,0.704
